nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
838,1503,blog,,"April 1, 2009",1,1,1239730839,1239730839,0,1,0,0,0,0
3376,6762,blog,,"August 9, 2010",4,1,1281136137,1281137462,0,1,0,0,0,0
3446,6917,blog,,"September 13, 2010",4,1,1283805364,1283805364,0,1,0,0,0,0
3608,7271,blog,,"October 11, 2010",4,1,1286490424,1330016780,0,1,0,0,0,0
3686,7430,blog,,"October 25, 2010",4,1,1287855776,1287856924,0,1,0,0,0,0
3697,7463,blog,,"November 1, 2010",4,1,1288389648,1288651334,0,1,0,0,0,0
3798,7618,blog,,"November 22, 2010",4,1,1290213899,1290213899,0,1,0,0,0,0
3831,7689,blog,,"November 30, 2010",4,1,1290559855,1291148267,0,1,0,0,0,0
4029,8079,blog,,"January 31, 2011",4,1,1296068663,1296068663,0,1,0,0,0,0
4145,8236,blog,,"February 14, 2011",4,1,1297448290,1297448290,0,1,0,0,0,0
4178,8337,blog,,"March 7, 2011",4,1,1299263054,1299263054,0,1,0,0,0,0
4395,8736,blog,,"May 2, 2011",4,1,1304191961,1304378843,0,1,0,0,0,0
4467,8877,blog,,"May 23, 2011",4,1,1305914297,1306188063,0,1,0,0,0,0
4552,9037,blog,,"June 13, 2011",4,1,1307747399,1307747399,0,1,0,0,0,0
4717,9290,blog,,"July 11, 2011",4,1,1310403822,1310403822,0,1,0,0,0,0
4792,9406,blog,,"July 25, 2011",4,1,1311265908,1311265908,0,1,0,0,0,0
4926,9592,blog,,"August 15, 2011",4,1,1313444020,1313444020,0,1,0,0,0,0
7998,14495,blog,,"July 8, 2013",19,1,1372367670,1372367670,0,1,0,0,0,0
9562,17455,blog,, Lunch-n-Learn ,19,1,1397606887,1397675468,0,1,0,0,0,0
1703,3219,blog,,"""Absolutely Giving Back""",8,1,1254784894,1254871374,0,1,0,0,0,0
2625,4942,blog,,"""Map Your Adventure"" at the 2010 Oregon Governor's Conference on Tourism",8,1,1267835290,1268086053,0,1,0,0,0,0
11313,20344,blog,,"""Must See Oregon"" Provides Showcase for Businesses",19,1,1429222381,1429287882,0,1,0,0,0,0
5371,10403,blog,,"""Winter Party Planning"" - December First Wednesday at Travel Salem",4,1,1322765172,1322765201,0,1,0,0,0,0
7249,13403,blog,,"""Wintercation"" in the Mid-Willamette Valley",4,1,1358383354,1435094340,0,1,0,0,0,0
7130,13200,blog,,11-12 Annual Report & 12-13 First Quarter Report,4,1,1355775101,1355791836,0,1,0,0,0,0
6770,12636,blog,,11-12 Fourth Quarter Report,4,1,1349200403,1349203837,0,1,0,0,0,0
8792,16184,blog,,12-13 Annual Report and 13-14 First Quarter Report,19,1,1386706631,1386889715,0,1,0,0,0,0
6477,12193,blog,,12-13 Business Plan and 11-12 Third Quarter Report,4,1,1342112549,1342129542,0,1,0,0,0,0
8542,15668,blog,,12-13 Fourth Quarter Report and Business Plan,19,1,1381427034,1381429841,0,1,0,0,0,0
7316,13489,blog,,12-13 Second Quarter Report,4,1,1360275369,1360623271,0,1,0,0,0,0
8070,14586,blog,,12-13 Third Quarter Report,19,1,1373574503,1373574503,0,1,0,0,0,0
11057,19827,blog,,13-14 Annual Report ,19,1,1423697064,1423778907,0,1,0,0,0,0
10622,19098,blog,,13-14 Fourth Quarter Report and Business Plan,19,1,1413324247,1413572345,0,1,0,0,0,0
9143,16758,blog,,13-14 Second Quarter Report,19,1,1392056663,1392147130,0,1,0,0,0,0
10205,18434,blog,,13-14 Third Quarter Report,19,1,1405365366,1405365475,0,1,0,0,0,0
10742,19323,blog,,14-15 1st Quarter Report,19,1,1415820786,1415820786,0,1,0,0,0,0
11186,20078,blog,,14-15 2nd Quarter Report,19,1,1426094734,1426094902,0,1,0,0,0,0
12069,21600,blog,,14-15 Fourth Quarter Report,19,1,1444848185,1444947932,0,1,0,0,0,0
2086,3922,blog,,2008-09 Annual Report,8,1,1259701591,1260300956,0,1,0,0,0,0
3802,7622,blog,,2009-2010 Annual Report and Fourth Quarter Report,4,1,1290215115,1290215176,0,1,0,0,0,0
2435,4617,blog,,2010 Salem Area Visitors Guide,8,1,1265399051,1265406422,0,1,0,0,0,0
3270,6537,blog,,2010 Salem Area Visitors Guide Available for Distribution,4,1,1278958085,1278958085,0,1,0,0,0,0
4577,9079,blog,,2011 Visitor Guide,4,1,1307985658,1307992372,0,1,0,0,0,0
6117,11569,blog,,2012 Nation-wide Adventurecation Promotion,4,1,1334266954,1334784190,0,1,0,0,0,0
7372,13568,blog,,2013 Oregon Governor's Conference on Tourism,4,1,1361294533,1361836081,0,1,0,0,0,0
7314,13487,blog,,2013 Oregon Governor's Conference on Tourism ,4,1,1360274833,1361836105,0,1,0,0,0,0
7899,14292,blog,,2013-14 Salem Area Visitors Guide,19,1,1371079823,1372110781,0,1,0,0,0,0
9148,16763,blog,,2014 Oregon Governor's Conference on Tourism,19,1,1392088815,1392239694,0,1,0,0,0,0
8652,15923,blog,,2014 Salem Area Visitors Guide Underway,19,1,1383783148,1383869078,0,1,0,0,0,0
9783,17810,blog,,2014-15 Salem Area Visitor Guide Now Available,19,1,1399933403,1400190595,0,1,0,0,0,0
10627,19103,blog,,2015 GOLD 16U National Championship Heads West to Salem ,19,1,1413327461,1413572311,0,1,0,0,0,0
11065,19835,blog,,2015 Oregon Governor's Conference on Tourism,19,1,1423702223,1423779216,0,1,0,0,0,0
10623,19099,blog,,2015 Salem Area Visitors Guide ,19,1,1413324515,1413572009,0,1,0,0,0,0
11477,20645,blog,,2015-16 Salem Area Visitor Guide Now Available,19,1,1431466361,1431962819,0,1,0,0,0,0
11956,21430,blog,,2016 Oregon Wine A-List Awards ~ Nominations Open until November 1,19,1,1442252824,1442511889,0,1,0,0,0,0
11964,21438,blog,,2016 Salem Area Visitors Guide ,19,1,1442268354,1442592703,0,1,0,0,0,0
7904,14297,blog,,25 Fields for Oregon,19,1,1371145892,1372110881,0,1,0,0,0,0
5269,10199,blog,,5 ways to warm up on a fall day,4,1,1319828033,1320102807,0,1,0,0,0,0
7906,14299,blog,,AbFab Award Winners,19,1,1371149777,1372110929,0,1,0,0,0,0
2944,5753,blog,,Absolutely Fabulous Awards Luncheon,8,1,1272572855,1272573829,0,1,0,0,0,0
3038,5984,blog,,Absolutely Fabulous Awards Luncheon,8,1,1274054578,1274200486,0,1,0,0,0,0
