nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
8952,19770,event,,Oregon Garden Brew Fest 2015,19,1,1389915129,1422056494,0,1,0,0,0,0
8953,20316,event,,Earth Day at the Oregon Garden 2015,19,1,1389915361,1428354395,0,1,0,0,0,0
9004,17864,event,,Keizer Iris Festival,19,1,1390425981,1400194343,0,1,0,0,0,0
9042,17044,event,,Jefferson Mint Festival,19,0,1390949598,1394484200,0,0,0,0,0,0
9046,17312,event,,The Oregon Garden Brewfest,19,1,1390951080,1396541104,0,1,0,0,0,0
9131,17202,event,,Sunsets in the Garden,19,1,1391625394,1395858993,0,1,0,0,0,0
9245,16996,event,,Historic Silver Falls Days,19,1,1394056446,1394056446,0,1,0,0,0,0
9246,16998,event,,Silver Falls Star Party,19,1,1394056683,1394056723,0,1,0,0,0,0
9276,17310,event,,Earth Day Celebration at The Oregon Garden,19,1,1394572830,1396540952,0,1,0,0,0,0
9366,21006,event,,Great Willamette River Raft Race (GWRRR),19,1,1395773024,1435096896,0,1,0,0,0,0
9370,21192,event,,Polk County Fair,19,1,1395786478,1437408169,0,1,0,0,0,0
9678,21000,event,,Bite and Brew of Salem,19,0,1398448385,1435096642,0,0,0,0,0,0
9721,19014,event,,Quiltopia,19,1,1399409938,1412183989,0,1,0,0,0,0
9951,18208,event,,Civil War Reenactment,19,1,1402011647,1403048657,0,1,0,0,0,0
9958,18069,event,,Hubbard Hop Festival,19,1,1402072751,1402072751,0,1,0,0,0,0
9961,18074,event,,Santiam Canyon Stampede,19,1,1402073892,1402073892,0,1,0,0,0,0
9965,18078,event,,14th Annual Silverton Fine Arts Festival,19,1,1402077671,1402077671,0,1,0,0,0,0
10046,21001,event,,Oregon Lavender Festival,19,0,1402694132,1435096658,0,0,0,0,0,0
10047,18186,event,,Fiesta Mexicana ~ Woodburn,19,1,1402694797,1402694797,0,1,0,0,0,0
10048,18188,event,,Sublimity Harvest festival,19,1,1402695218,1402695218,0,1,0,0,0,0
10190,18601,event,,Oregon State Fair,19,1,1405107306,1407366245,0,1,0,0,0,0
10452,20823,event,,Mud Madness/Obstacle Course,19,1,1410460630,1433371936,0,1,0,0,0,0
10456,21003,event,,Independence Hop & Heritage Festival,19,0,1410461391,1435096702,0,0,0,0,0,0
10463,18843,event,,Mount Angel Oktoberfest,19,1,1410469944,1410535457,0,1,0,0,0,0
10541,18954,event,,Thanksgiving Dinner on the River,19,1,1411597834,1411597834,0,1,0,0,0,0
10547,21002,event,,Father's Day Brunch Cruise,19,0,1411600416,1435096682,0,0,0,0,0,0
10548,18962,event,,4th of July ~ Aboard the Willamette Queen,19,1,1411600651,1411600739,0,1,0,0,0,0
10549,18963,event,,Patriot Day Cruise,19,1,1411600907,1411600907,0,1,0,0,0,0
10713,21578,event,,Wineries Thanksgiving Weekend Open Houses,19,1,1414779215,1444238422,0,1,0,0,0,0
10798,19410,event,,Bush House Holiday Open Museum,19,1,1416251760,1416588058,0,1,0,0,0,0
10799,19413,event,,Heart of Willamette Wineries ~ Pre & Post Thanksgiving Open Houses,19,1,1416857756,1416857756,0,1,0,0,0,0
10825,19522,event,,Magic at the Mill,19,1,1417030946,1418327910,0,1,0,0,0,0
10828,19458,event,,2015 Oregon Winter Poultry Swap and Sale,19,1,1417037854,1417037854,0,1,0,0,0,0
10842,20997,event,,Celebrating the Holidays,19,1,1417731038,1435095419,0,1,0,0,0,0
10906,19573,event,,Irish/Celtic Social Dance Lessons,19,1,1419291753,1419292460,0,1,0,0,0,0
10907,20277,event,,Ceili (Kay-lee) Mor/Irish Social Dancing,19,1,1419292286,1428011610,0,1,0,0,0,0
10918,19618,event,,Monthly Salsa Lessons,19,1,1420737455,1420737455,0,1,0,0,0,0
10919,19705,event,,Mt. Angel Wurstfest ~ 7th Annual,19,1,1420737633,1421437016,0,1,0,0,0,0
10920,19620,event,,Travel Through Time ~ Celebrating Oregon's 156th Birthday,19,1,1420737869,1420737869,0,1,0,0,0,0
10958,19676,event,,Salem's Underground ~ History Presentation,19,1,1421340814,1421340847,0,1,0,0,0,0
