nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
78,78,image,,ATU,1,1,1232450043,1232450043,2,1,0,0,0,0
79,79,image,,City of Salem,1,1,1232707671,1232707671,2,1,0,0,0,0
80,80,image,,Oregon State Parks,1,1,1232707739,1232707739,2,1,0,0,0,0
82,82,image,,Hut Shuttle,1,1,1232707906,1232707906,2,1,0,0,0,0
83,83,image,,Salem Electric,1,1,1232707964,1232707964,2,1,0,0,0,0
84,84,image,,Phoenix Grand Hotel,1,1,1232708048,1232708048,2,1,0,0,0,0
85,85,image,,State Fair & Expo,1,1,1232708249,1232708249,2,1,0,0,0,0
86,86,image,,Sprit Mountain,1,1,1232708292,1232708292,2,1,0,0,0,0
87,87,image,,Salem Conference Center,1,1,1232708339,1232708339,2,1,0,0,0,0
88,88,image,,Woodburn Company Stores,1,1,1232708389,1232708389,2,1,0,0,0,0
89,89,image,,Red Lion,1,1,1232708428,1232708428,2,1,0,0,0,0
91,91,image,,Coldwell Banker Commercial,1,1,1232708520,1232708520,2,1,0,0,0,0
92,92,image,,Willamette Valley Vineyards,1,1,1232708564,1232708564,2,1,0,0,0,0
93,93,image,,Slab,1,1,1232708616,1232708616,2,1,0,0,0,0
94,94,image,,Garmin,1,1,1232708656,1232708656,2,1,0,0,0,0
95,95,image,,Twitter,1,1,1232708738,1232708738,2,1,0,0,0,0
107,107,image,,Vivitor Guide Ad,1,1,1233139928,1233139928,2,1,0,0,0,0
127,127,image,,Gilbert House,1,1,1233738449,1233738449,2,1,0,0,0,0
128,128,image,,Lodging-Home-Image,1,1,1233738841,1233738841,2,1,0,0,0,0
129,129,image,,Dining-Overview,1,1,1233739478,1233739478,2,1,0,0,0,0
130,130,image,,Shopping-overview,1,1,1233739816,1233739816,2,1,0,0,0,0
132,132,image,,Budget-Lodge,1,1,1233742227,1233742227,2,1,0,0,0,0
134,134,image,,Comfort-Inn,1,1,1233742894,1233742894,2,1,0,0,0,0
137,137,image,,Recreation-Image,1,1,1233743681,1233743681,2,1,0,0,0,0
176,200,image,,Detroit Lake State Recreation Area,1,1,1234717305,1234717305,2,1,0,0,0,0
177,209,image,,Comfort-Suites-Salem-Airport,4,1,1234995282,1234995282,2,1,0,0,0,0
180,217,image,,River-Gallery,4,1,1235513327,1235513327,2,1,0,0,0,0
182,220,image,,Phoenix-Inn-Suites-North,4,1,1235516699,1235516699,2,1,0,0,0,0
183,222,image,,Phoenix-Inn-Suites-South,4,1,1235516905,1235516905,2,1,0,0,0,0
184,224,image,,Red-Lion-Hotel-Salem,4,1,1235517091,1235517091,2,1,0,0,0,0
185,226,image,,Phoenix-Grand-Hotel,4,1,1235517211,1235517211,2,1,0,0,0,0
186,230,image,,Travelodge,4,1,1235517457,1235517457,2,1,0,0,0,0
187,233,image,,Hopewell-B&B,4,1,1235519803,1235519803,2,1,0,0,0,0
188,236,image,,Portland-Woodburn-RV-Park,4,1,1235519946,1235519946,2,1,0,0,0,0
189,238,image,,Silver-Falls-State-Park,4,1,1235520050,1235520050,2,1,0,0,0,0
190,239,image,,Silver-Falls-State-Park,4,1,1235520087,1235520087,2,1,0,0,0,0
194,249,image,,Crestview-Executive-Suite,4,1,1236212770,1236212770,2,1,0,0,0,0
196,251,image,,Rosewood-Lane-Corporate-Suites,4,1,1236274113,1236274113,2,1,0,0,0,0
197,253,image,,Mary-Lou-Zeek-Gallery,4,1,1236274294,1236274294,2,1,0,0,0,0
198,255,image,,Bush-Barn-Art-Center,4,1,1236274394,1236274394,2,1,0,0,0,0
199,257,image,,Spirit-Mountain-Casino,4,1,1236274486,1236274486,2,1,0,0,0,0
200,259,image,,Macs-Place,4,1,1236274572,1236274572,2,1,0,0,0,0
201,263,image,,Wooden-Nickel ,4,1,1236274758,1236274758,2,1,0,0,0,0
202,265,image,,Elsinore-Theatre,4,1,1236274849,1236274849,2,1,0,0,0,0
203,267,image,,Northern-Lights-Theatre-Pub,4,1,1236274919,1236274920,2,1,0,0,0,0
204,271,image,,Champoeg-State-Heritage-Area,4,1,1236275082,1236275082,2,1,0,0,0,0
205,273,image,,Adelman-Peony-Gardens,4,1,1236282405,1236282405,2,1,0,0,0,0
207,275,image,,Brooks-Gardens,4,1,1236282464,1236282464,2,1,0,0,0,0
214,282,image,,Schreiners-Gardens,4,1,1236282886,1236282886,2,1,0,0,0,0
218,295,image,,Willson-Park,4,1,1236283332,1236283332,2,1,0,0,0,0
221,300,image,,Antique-Powerland-Museum,4,1,1236288631,1236288631,2,1,0,0,0,0
224,304,image,,Bush-House-Museum ,4,1,1236288807,1236288807,2,1,0,0,0,0
234,319,image,,Willamette-River,4,1,1236289571,1236289571,2,1,0,0,0,0
