nid,vid,type,language,title,body,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
,1,1,1231830786,1411058667,0,0,0,0,0,0,,,,,
,1,1,1237227892,1445278271,0,0,0,0,0,0,,,,,
6454,12143,ad_rotator,,B Hampton Inn Home Page,"<p><a href=""http://www.salemsuites.hamptoninn.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Hampton_Inn_Home_Page_2013.jpg"" width=""250"" height=""125"" /></a></p>",4,1,1341342579,1437708655,0,1,0,0,0,0
9234,16982,ad_rotator,,K Lancaster Mall Home Page Ad,"<p><a href=""http://www.lancastermall.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Lancaster_Mall_Homepage_03_2014.jpg"" width=""250"" height=""126"" /></a></p>",19,1,1393971166,1437708641,0,1,0,0,0,0
11837,21238,ad_rotator,,Amtrak Events Ad,"<p><a href=""http://www.amtrak.com/Oregon30 "" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Amtrak_Save25Pc_AD_0.jpg"" title=""Amtrak ~ www.amtrak.com/Oregon30"" width=""160"" height=""400"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>",19,1,1438287284,1438287284,0,1,0,0,0,0
11986,21481,ad_rotator,,Aurora Quilt ad,"<p><a href=""http://auroracolony.org "" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Aurora_09_18_Attractions.preview.jpg"" width=""160"" height=""394"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>",19,1,1443114354,1443114354,0,1,0,0,0,0
12098,21742,ad_rotator,,Pioneer Trust Bank Rotator Resources,"<p><a href=""http://www.PioneerTrustBank.com/"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/pioneertrustbank_resources.jpg"" title=""Pioneer Trust Bank - www.PioneerTrustBank.com"" width=""160"" height=""400"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>",19,1,1445547331,1445547331,0,1,0,0,0,0
12099,21743,ad_rotator,,Swipe Now Ad Resources,"<p><a href=""http://www.swipenow.com""><img src=""http://www.travelsalem.com/files/images/Swipe_Now.jpg"" title=""www.swipenow.com"" width=""160"" height=""400"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>",19,1,1445547788,1445547824,0,1,0,0,0,0
12101,21745,ad_rotator,,Santiam Hospital,"<p><a href=""http://santiamhospital.org/ser-birth-center.php"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Santiam_Hospital_09_13_0.JPG"" title=""Santiam Hosiptal ~ www.santiamhospital.org/ser-birth-center.php"" width=""125"" height=""205"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>",19,1,1445548539,1445548539,0,1,0,0,0,0
838,1503,blog,,9-Apr,<p>This is a test item for a newsletter</p>,1,1,1239730839,1239730839,0,1,0,0,0,0
