vid,nid,delta,field_event_start_date_value,field_event_start_date_value2,field_event_start_date_rrule
16401,8952,0,2015-04-24T17:00:00,2015-04-26T17:00:00,NULL
16402,8952,0,2015-04-24T17:00:00,2015-04-26T17:00:00,NULL
16403,8953,0,2015-04-18T16:00:00,2018-04-19T00:00:00,NULL
16495,9004,0,2014-05-15T17:00:00,2014-05-18T17:00:00,NULL
16557,9042,0,2014-06-27T23:00:00,2014-06-30T05:00:00,NULL
16561,9046,0,2014-04-25T19:00:00,2014-04-28T06:00:00,NULL
16562,9046,0,2014-04-25T19:00:00,2014-04-28T06:00:00,NULL
16720,9131,0,2014-07-17T03:00:00,2014-07-17T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16720,9131,1,2014-07-31T03:00:00,2014-07-31T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16720,9131,2,2014-08-14T03:00:00,2014-08-14T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16720,9131,3,2014-08-28T03:00:00,2014-08-28T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16720,9131,4,2014-09-11T03:00:00,2014-09-11T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16720,9131,5,2014-09-25T03:00:00,2014-09-25T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
16996,9245,0,2014-07-12T17:00:00,2014-07-13T23:00:00,NULL
16997,9246,0,2014-08-31T04:00:00,2014-08-31T06:59:00,NULL
16998,9246,0,2014-08-31T04:00:00,2014-08-31T06:59:00,NULL
17044,9042,0,2014-06-27T23:00:00,2014-06-30T05:00:00,NULL
17061,9276,0,2014-04-19T17:00:00,2014-04-19T23:00:00,NULL
17188,9366,0,2014-08-09T16:00:00,2014-08-09T16:00:00,NULL
17192,9370,0,2014-08-07T17:00:00,2014-08-07T17:00:00,NULL
17193,9370,0,2014-08-07T17:00:00,2014-08-10T17:00:00,NULL
17202,9131,3,2014-08-28T03:00:00,2014-08-28T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17202,9131,0,2014-07-17T03:00:00,2014-07-17T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17202,9131,5,2014-09-25T03:00:00,2014-09-25T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17202,9131,4,2014-09-11T03:00:00,2014-09-11T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17202,9131,1,2014-07-31T03:00:00,2014-07-31T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17202,9131,2,2014-08-14T03:00:00,2014-08-14T03:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=20140925T065959Z;WKST=SU
EXDATE:20140806T070000Z"
17310,9276,0,2014-04-19T17:00:00,2014-04-19T23:00:00,NULL
17312,9046,0,2014-04-25T19:00:00,2014-04-28T06:00:00,NULL
17616,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
17616,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
17616,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
17735,9721,0,2014-10-03T17:00:00,2014-10-05T19:00:00,NULL
17864,9004,0,2014-05-15T17:00:00,2014-05-18T17:00:00,NULL
17903,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
17903,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
17903,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18060,9951,0,2014-07-04T16:00:00,2014-07-07T01:00:00,NULL
18069,9958,0,2014-07-19T17:00:00,2014-07-19T17:00:00,NULL
18074,9961,0,2014-07-18T17:00:00,2014-07-20T17:00:00,NULL
18078,9965,0,2014-08-16T17:00:00,2014-08-17T17:00:00,NULL
18185,10046,0,2014-07-12T17:00:00,2014-07-14T00:00:00,NULL
18186,10047,0,2014-08-02T17:00:00,2014-08-03T17:00:00,NULL
18188,10048,0,2014-09-05T17:00:00,2014-09-07T17:00:00,NULL
18208,9951,0,2014-07-04T16:00:00,2014-07-06T23:00:00,NULL
18280,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18280,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18280,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18409,10190,0,2014-08-22T17:00:00,2014-09-01T17:00:00,NULL
18424,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18424,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18424,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18440,10190,0,2014-08-22T17:00:00,2014-09-01T17:00:00,NULL
18451,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18451,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18451,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18519,9678,2,2014-07-27T23:00:00,2014-07-27T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18519,9678,1,2014-07-26T23:00:00,2014-07-26T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18519,9678,0,2014-07-25T23:00:00,2014-07-25T23:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140728T065959Z;WKST=SU
18572,10046,0,2014-07-12T17:00:00,2014-07-14T00:00:00,NULL
18595,9370,0,2014-08-07T17:00:00,2014-08-10T17:00:00,NULL
18601,10190,0,2014-08-22T17:00:00,2014-09-01T17:00:00,NULL
18605,9366,0,2014-08-09T16:00:00,2014-08-09T16:00:00,NULL
18618,9366,0,2014-08-09T16:00:00,2014-08-09T16:00:00,NULL
18814,10452,0,2015-08-22T18:30:00,2015-08-22T18:30:00,NULL
18818,10456,0,2014-09-27T18:00:00,2014-09-28T06:00:00,NULL
18829,10463,0,2014-09-11T17:00:00,2014-09-11T17:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18829,10463,1,2014-09-12T17:00:00,2014-09-12T17:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18829,10463,2,2014-09-13T17:00:00,2014-09-13T17:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18829,10463,3,2014-09-14T17:00:00,2014-09-14T17:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18830,10463,0,2014-09-11T19:00:00,2014-09-11T19:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18830,10463,1,2014-09-12T19:00:00,2014-09-12T19:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18830,10463,2,2014-09-13T19:00:00,2014-09-13T19:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18830,10463,3,2014-09-14T19:00:00,2014-09-14T19:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140915T065959Z;WKST=SU
18843,10463,0,2014-09-11T18:00:00,2014-09-14T18:00:00,NULL
18954,10541,0,2014-11-28T00:00:00,2014-11-28T00:00:00,NULL
