nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,body
8952,19770,event,,Oregon Garden Brew Fest 2015,19,1,1389915129,1422056494,0,1,0,0,0,0,"<table style=""width: 100%;"" border=""0""><tbody><tr><td>Beautiful Queen Anne Victorian on 4/5 acres. Outdoor event site in a historic garden setting for up to 325 guests. Wedding, reunions, anniversaries and more!<br />1116 Mission St. SE<br />Salem, OR 97302<br />503-363-1825<br /><a href=""http://www.historicdeepwoodestate.org"" target=""_blank"">www.historicdeepwoodestate.org</a> </td> <td><img src=""[site:url]sites/default/files/images/Historic_Deepwood_Estate_Small_1.jpg"" title=""Photo by Ron Cooper"" width=""190"" height=""72"" style=""margin: 5px; float: right;"" /></td></tr></tbody></table>"
8953,20316,event,,Earth Day at the Oregon Garden 2015,19,1,1389915361,1428354395,0,1,0,0,0,0,"<table style=""width: 100%;"" border=""0"">
<tbody>
<tr>
<td>Available for evening events. An elegant museum backdrop creates a unique reception space with a full catering service available. Located in downtown Salem.<br />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://www.willamette.edu/arts/hfma "" target=""_blank"">www.willamette.edu/arts/hfma </a></td>
<td><img src=""[site:url]sites/default[site:url]sites/default/files/images/Hallie_Ford_Museum_of_Art_interior_190.jpg"" width=""190"" height=""125"" style=""margin: 5px; float: right;"" /></td>
</tr>
</tbody>
</table>"
9004,17864,event,,Keizer Iris Festival,19,1,1390425981,1400194343,0,1,0,0,0,0,"<table style=""width: 100%;"" border=""0"">
<tbody>
<tr>
<td>Arcane Cellars Winery is a beautiful and peaceful Willamette River Water Trail site for picnics, cycling, Bocce, canoeing & kayaking, camping over, RVing, etc.<br />22350 Magness Rd. NW <br />Salem, OR 97304-9642<br />503-868-7076<br /><a href=""http://www.arcanecellars.com"" target=""_blank"">www.arcanecellars.com</a> </td>
<td><a href=""http://www.arcanecellars.com"" target=""_blank""><img src=""[site:url]sites/default[site:url]sites/default/files/images/Arcane%20Cellars_190.jpg"" title=""Arcane Cellars ~ www.arcanecellars.com"" width=""190"" height=""116"" style=""margin: 5px; float: right;"" /></a></td>
</tr>
</tbody>
</table>"
9042,17044,event,,Jefferson Mint Festival,19,0,1390949598,1394484200,0,0,0,0,0,0,"<p>Food, arts, crafts, entertainment, car show, frog jump, parade, pancake breakfast and kids inflatables. Fri.  June 27,  4-10 p.m., Sat .June 28, 8 a.m.-10 p.m., Sun. June 29, 10 a.m.-4 p.m. Free admission.<br />Jefferson Middle School<br />1344 N 2nd St.<br />Jefferson, OR 97352<br />541-974-0717<br /><a href=""http://www.mintfestival.com"" target=""_blank"">www.mintfestival.com</a></p>"
9046,17312,event,,The Oregon Garden Brewfest,19,1,1390951080,1396541104,0,1,0,0,0,0,"<p>The 10th annual Oregon Garden Brewfest features 65 breweries, 130 beers and ciders, local food vendors and live music by area bands. The weekend kicks off with a six-course Brewer's Tasting Dinner on Thursday, April 24th. Noon-11 p.m., Fri.-Sat., Noon-5 p.m., Sun. Admission: $15 for single-day pass, $20 after 5 p.m.<br />The Oregon Garden<br />879 W. Main St<br />Silverton, OR 97381<br />503-874-8100 or 877-674-2733<br /><a href=""http://www.oregongarden.org/events/brewfest"" target=""_blank"">www.oregongarden.org/events/brewfest</a></p>"
9131,17202,event,,Sunsets in the Garden,19,1,1391625394,1395858993,0,1,0,0,0,0,"<p>A great way to enjoy a summer evening after-hours with complimentary tastings from a local winery or brewery, live music and a sunset in the Garden. One hour before dusk. Admission: Adults (21+) $5; Under 21 $1; Children 4 & under Free; Garden Members $1. <br />The Oregon Garden<br />879 W Main St.<br />Silverton, OR 97381<br />503-874-8100<br /><a href=""http://www.oregongarden.org/events/sunsets-in-the-garden/"" target=""_blank"">www.oregongarden.org/events</a></p>"
9245,16996,event,,Historic Silver Falls Days,19,1,1394056446,1394056446,0,1,0,0,0,0,"<p>From Native Americans to loggers, from homesteaders to parks, the land we know today as Silver Falls State Park has a colorful history. Join us for demonstrations, displays and games that bring history to life. Admission: $5.00 per vehicle.<br />Silver Falls State Park<br />20024 Silver Falls Hwy. SE<br />Sublimity, OR 97385<br />503-874-0201<br /><a href=""http://www.friendsofsilverfalls.net"" target=""_blank"">www.friendsofsilverfalls.net</a></p>"
9246,16998,event,,Silver Falls Star Party,19,1,1394056683,1394056723,0,1,0,0,0,0,"<p>Join park staff and astronomy club members for a night of stargazing. Learn about constellations, nebulas and other heavenly sights. Meet them up close through telescopes. Admission: $5.00 per vehicle.<br />Silver Falls State Park<br />20024 Silver Falls Hwy. SE<br />Sublimity, OR 97385<br />503-874-0201<br /><a href=""http://www.friendsofsilverfalls.net"" target=""_blank"">www.friendsofsilverfalls.net</a></p>"
9276,17310,event,,Earth Day Celebration at The Oregon Garden,19,1,1394572830,1396540952,0,1,0,0,0,0,"<p>Join us for the 2014 Earth Day Celebration, Protecting & Preserving Our Planet. Admission is free so that everyone can learn about being good stewards to the earth. <br />The Oregon Garden<br />879 W Main St<br />Silverton, OR 97381<br />503-874-8100<br /><a href=""http://www.oregongarden.org/events/earth-day"" target=""_blank"">www.oregongarden.org/events/earth-day</a></p>"
9366,21006,event,,Great Willamette River Raft Race (GWRRR),19,1,1395773024,1435096896,0,1,0,0,0,0,"<p>The GWRRR is an annual event open to all. This is a fun event to rediscover the river and a fund raising event for Exchange Club of Salem. For detailed information see web site. Launch at 9:oo a.m.-ends when all rafts off river.<br />Independence to Salem <br />Willamette River<br />Salem, OR 97302<br />503-930-7228<br /><a href=""http://www.willametteriverrace.com "" target=""_blank"">www.willametteriverrace.com </a></p>"
