nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
8,14139,listing,,Vern Miller Civic Center and Grounds,1,1,1229468174,1369271251,0,0,0,0,0,0
69,6400,listing,,Aurora Colony Visitors Association,1,1,1231926566,1277154175,0,0,0,0,0,0
96,9658,listing,,Chemeketa Community College,1,1,1232710091,1314334947,0,0,0,0,0,0
133,9266,listing,,Budget Lodge,1,1,1233742299,1310058786,0,0,0,0,0,0
135,9624,listing,,Comfort Inn and Suites,1,1,1233742942,1313984098,0,0,0,0,0,0
136,8063,listing,,Days Inn Black Bear,1,1,1233743064,1295913833,0,0,0,0,0,0
139,9265,listing,,BEST WESTERN PLUS Mill Creek Inn,4,1,1234642025,1310058740,0,0,0,0,0,0
140,9264,listing,,Best Western Pacific Highway Inn,4,1,1234642127,1310058727,0,0,0,0,0,0
141,21551,listing,,Comfort Suites,4,1,1234642257,1444067190,0,0,0,0,0,0
142,21675,listing,,Crossland Economy Studios,4,0,1234642517,1445033566,0,0,0,0,0,0
143,9271,listing,,LaQuinta Inn & Suites,4,1,1234642637,1310059012,0,0,0,0,0,0
145,17681,listing,,Howard Johnson Inn,4,0,1234643629,1398883305,0,0,0,0,0,0
146,21707,listing,,Keizer Quality Suites & Conference Center,4,1,1234643656,1445365365,0,0,0,0,0,0
147,10789,listing,,Motel 6,4,1,1234643679,1327986620,0,0,0,0,0,0
148,15549,listing,,Grand Hotel in Salem,4,1,1234643717,1380303098,0,0,0,0,0,0
149,16769,listing,,"DoubleTree by Hilton - Salem, Oregon",4,1,1234643760,1392139104,0,0,0,0,0,0
150,21640,listing,,Phoenix Inn Suites - Salem,4,1,1234643822,1445020201,0,0,0,0,0,0
151,21642,listing,,Red Lion Hotel Salem,4,1,1234643864,1445020388,0,0,0,0,0,0
152,9598,listing,,Residence Inn by Marriott,4,1,1234643932,1313462536,0,0,0,0,0,0
154,9958,listing,,Travelodge,4,1,1234644008,1316826814,0,0,0,0,0,0
156,7414,listing,,Betty's Bed and Breakfast,4,1,1234644081,1287723565,0,0,0,0,0,0
159,12159,listing,,Champoeg State Heritage Area,4,1,1234644651,1341523336,0,0,0,0,0,0
160,18564,listing,,Detroit Lake State Recreation Area,4,1,1234645663,1406668637,0,0,0,0,0,0
163,12156,listing,,Silver Falls State Park,4,1,1234645978,1341523199,0,0,0,0,0,0
164,21476,listing,,State Park Information,4,1,1234646039,1443030664,0,0,0,0,0,0
166,21679,listing,,Mary Lou Zeek Gallery,4,0,1234646928,1445036477,0,0,0,0,0,0
167,7721,listing,,Bush Barn Art Center/Salem Art Association,4,1,1234646994,1291176507,0,0,0,0,0,0
168,13308,listing,,Spirit Mountain Casino,4,1,1234647047,1357427610,0,0,0,0,0,0
171,10294,listing,,Salem SenateAires Men's Chorus,4,1,1234648930,1320861966,0,0,0,0,0,0
173,7162,listing,,Historic Elsinore Theatre,4,1,1234649172,1285393042,0,0,0,0,0,0
175,6672,listing,,Pentacle Theatre,4,1,1234649553,1279940591,0,0,0,0,0,0
206,15809,listing,,Adelman Peony Gardens,4,1,1236282417,1382725748,0,0,0,0,0,0
208,18737,listing,,Brooks Gardens,4,1,1236282498,1409855835,0,0,0,0,0,0
211,9011,listing,,Delbert Hunter Arboretum and Botanic Garden,4,1,1236282720,1307033009,0,0,0,0,0,0
213,21669,listing,,Deepwood Museum & Gardens,4,1,1236282834,1445032436,0,0,0,0,0,0
215,9790,listing,,Schreiner's Iris Gardens,4,1,1236282915,1315787106,0,0,0,0,0,0
216,5380,listing,,The Oregon Garden,4,1,1236282952,1270147207,0,0,0,0,0,0
217,417,listing,,Willamette University's Martha Springer Botanical Garden and Rose Garden,4,1,1236282995,1236373360,0,0,0,0,0,0
219,17972,listing,,Willson Park/Capitol Park Mall,4,1,1236283362,1401308721,0,0,0,0,0,0
220,18797,listing,,Wooden Shoe Tulip Farm,4,0,1236283391,1410208134,0,0,0,0,0,0
222,21694,listing,,Antique Powerland Museums,4,1,1236288654,1445358699,0,0,0,0,0,0
223,2500,listing,,Aurora Colony National Historic District,4,1,1236288754,1247691035,0,0,0,0,0,0
225,7159,listing,,Bush House Museum,4,1,1236288831,1285391730,0,0,0,0,0,0
226,405,listing,,Court-Chemeketa Residential Historic District,4,1,1236288921,1236373190,0,0,0,0,0,0
227,518,listing,,Buena Vista Ferry,4,1,1236289002,1236639868,0,0,0,0,0,0
