nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,body
8,14139,listing,,Vern Miller Civic Center and Grounds,1,1,1229468174,1369271251,0,0,0,0,0,0,"<p>Home to City Hall, the Salem Public Library, Peace Plaza and more than 150 art pieces. Located in downtown Salem close to the Salem Convention Center.<br />555 Liberty St. SE<br />Salem, OR 97301<br />503-588-6255<br /><a href=""http://www.cityofsalem.net"" target=""_blank"">www.cityofsalem.net</a></p>"
69,6400,listing,,Aurora Colony Visitors Association,1,1,1231926566,1277154175,0,0,0,0,0,0,"<p>PO Box 86 (mailing)<br />Aurora, Oregon 97002<br />503-939-0312<br /><a href=""http://www.auroracolony.com/"" target=""_blank"">http://www.auroracolony.com/</a></p>"
96,9658,listing,,Chemeketa Community College,1,1,1232710091,1314334947,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Chemeketa Community College serves more than 64,000 students annually on five campuses. Day, evening, and online classes are offered in numerous professional-technical and transfer programs.<br />4000 Lancaster Dr. NE<br />Salem, OR 97305<br />PO Box 14007 (mailing)<br />Salem, OR 97309<br />503-399-5000<br /><a href=""http://www.chemeketa.edu/"" target=""_blank"">www.chemeketa.edu</a></td>
<td><span class=""inline inline-left""><a href=""http://www.chemeketa.edu/"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/CCC_Logo.png"" title=""Chemeketa Community College ~ Salem, Oregon ~ www.chemeketa.edu"" width=""150"" height=""75"" style=""margin: 5px; float: right;"" class=""image image-preview "" /></a></span></td>
</tr>
</tbody>
</table>"
133,9266,listing,,Budget Lodge,1,1,1233742299,1310058786,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>3195 Portland Rd. NE<br />Salem, Oregon 97301<br />503-585-2900</td>
<td><span class=""inline inline-none""></span></td>
</tr>
</tbody>
</table>"
135,9624,listing,,Comfort Inn and Suites,1,1,1233742942,1313984098,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Newly remodeled, 100% non-smoking, hot buffet breakfast, business center, pool, spa, refrigerator, microwave, iron, coffee pot, blow dryer, and wireless and wired Internet in every room. <br />1775 Freeway Ct. NE<br />Salem, OR 97301<br />503-588-0515 or 888-305-0515<br /><a href=""http://www.comfortinn.com/hotel-salem-oregon-OR180"" target=""_blank"">www.comfortinn.com/hotel-salem-oregon-OR180</a></td>
<td><span class=""inline inline-left""><a href=""http://www.comfortinn.com/hotel-salem-oregon-OR180"" target=""_blank""><img src=""/files/images/ComfortInn&amp;Suites.jpg"" title=""Comfort Inn and Suites ~ Salem, Oregon ~ www.comfortinn.com/hotel-salem-oregon-OR180"" width=""191"" height=""128"" style=""margin: 5px; float: right;"" class=""image image-_original"" /></a></span></td>
</tr>
</tbody>
</table>"
136,8063,listing,,Days Inn Black Bear,1,1,1233743064,1295913833,0,0,0,0,0,0,"<p>1600 Motor Ct. NE<br />Salem, Oregon 97301<br />503-581-1559 or 877-594-1110<br /><a href=""http://www.daysinn.com/DaysInn/control/Booking/property_info?propertyId=45197"" target=""_blank"">www.daysinn.com</a></p>"
139,9265,listing,,BEST WESTERN PLUS Mill Creek Inn,4,1,1234642025,1310058740,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<p>Welcome to Salem!&nbsp;Complimentary breakfast at Denny's. Free high-speed internet access.&nbsp;Refrigerator, microwave, coffee maker.&nbsp;<a href=""http://www.youtube.com/v/L6wftL3w_os&amp;hl=en_US&amp;fs=1&amp;"" rel=""lightvideo""><img src=""http://www.travelsalem.com/files/images/BW_Mill_Creek_Inn_Thumbnail.JPG"" title=""Click here to view photo slideshow of BEST WESTERN PLUS Mill Creek Inn. Salem, Oregon."" width=""127"" height=""79"" style=""margin: 5px; float: right;"" /></a>Indoor pool, hot tub, private saunas &amp; exercise room.<br />3125 Ryan Dr. SE<br />Salem, Oregon 97301<br />503-585-3332 or 800-346-9659<br /><a href=""http://www.bestwestern.com/plusmillcreekinn"" target=""_blank"">www.bestwestern.com/plusmillcreekinn</a></p>
</td>
<td><span class=""inline inline-left""><a href=""http://www.bestwestern.com/millcreekinn"" target=""_blank""><img src=""/files/images/Best_Western_Mill_Creek_Small.jpg"" title=""BEST WESTERN PLUS Mill Creek Inn ~ Salem, Oregon ~ www.bestwestern.com/millcreekinn"" width=""191"" height=""132"" style=""border: 0px;"" class=""image image-preview "" /></a></span></td>
</tr>
</tbody>
</table>"
140,9264,listing,,Best Western Pacific Highway Inn,4,1,1234642127,1310058727,0,0,0,0,0,0,"<p>4646 Portland Rd. NE<br />Salem, Oregon 97305<br />503-390-3200<br />800-832-8905<br /><a href=""http://www.bestwestern.com/pacifichighwayinn"" target=""_blank"">www.bestwestern.com/pacifichighwayinn</a></p>"
141,21551,listing,,Comfort Suites,4,1,1234642257,1444067190,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td>Remodeled 2015. We offer a many in room amenities, a modest exercise room and indoor heated pool and spa. Also a full hot buffet breakfast.<br />630 Hawthorne Ave. SE<br />Salem, Oregon 97301<br />503-585-9705<br /><a href=""http://www.comfortsuites.com/hotel-salem-oregon-or055"" target=""_blank"">www.comfortsuites.com/hotel-salem-oregon-or055</a></td> <td><span class=""inline inline-left""><a href=""http://www.comfortsuites.com/hotel-salem-oregon-or055"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Comfort_Suites_198.jpg"" title=""Comfort Suites ~ Salem, Oregon ~ www.comfortsuites.com"" width=""192"" height=""128"" style=""margin: 5px; float: right;"" class=""image image-preview"" /></a></span></td></tr></tbody></table>"
142,21675,listing,,Crossland Economy Studios,4,0,1234642517,1445033566,0,0,0,0,0,0,"<p>3535 Fisher Rd. NE<br />Salem, Oregon 97305<br />503-363-7557<br />800-EXT-STAY<br /><a href=""http://www.extendedstayhotels.com/"" target=""_blank"">www.ExtendedStayHotels.com</a></p>"
