nid,,,,title,,,created,changed,start,end,field_event_start_date_rrule,,,body
40000,21804,event,,Holiday Fair,19,1,1447353963,1447353963,2016-11-04T16:00:00,2016-11-06T00:00:00,,,,"<p>Sponsored by the 4-H Youth Development Program, 130 vendors, holiday demos, proceeds benefit 4-H.<br />Polk County Fairgrounds and Event Center<br />520 S. Pacific Hwy W<br />Rickreall, OR 97371<br />503-623-8395<br /><a href=""http://www.extension.oregonstate.edu/polk"" target=""_blank"">www.extension.oregonstate.edu/polk</a></p>"
40001,21805,event,,Swaptoberfest,19,1,1447354224,1447354224,2016-10-15T16:00:00,2016-10-15T22:00:00,,,,"<p>Emergency Service Volunteer Fair and Ham Radio Swapmeet.<br />Polk County Fairgrounds and Event Center<br />520 S. Pacific Hwy W.<br />Rickreall, OR 97371<br />503-623-3048<br /><a href=""http://www.swaptoberfest.net/wordpress"" target=""_blank"">www.swaptoberfest.net/wordpress</a></p>"
40002,21806,event,,Willamette Jazz Night ,19,1,1447354424,1447354424,2015-11-14T03:30:00,2015-11-14T03:30:00,,,,"<p>Dr. Wallace Long and the Willamette Singers are pleased to welcome the ""H"" Quartet featuring Haley Horsfall to headline their Fall Vocal Jazz Concert.<br />Willamette University<br />Smith Auditorium<br />900 SE State St.<br />Salem, OR 97301<br />503-370-6255</p>"
40003,21807,event,,Thanskgiving Weekend Celebration,19,1,1447354730,1447354730,2015-11-27T19:00:00,2015-11-30T01:00:00,,,,"<p>Join us to celebrate Thanksgiving weekend Cuban-style, with wine tasting, Cuban tapas, live music, exclusive wine specials and college football.$10 general admission (includes wine tasting); $5 for designated drivers and anyone under 21 years old.<br />Cubanisimo Vineyards Wine Tasting Room<br />1754 Best Rd. NW<br />Salem, OR 97304<br />503-588-1763<br /><a href=""http://www.cubanisimovineyards.com"" target=""_blank"">www.cubanisimovineyards.com</a></p>"
40004,21808,event,,Tuesday Gallery Talk: Stilleven ~ Contemporary Still Life,19,1,1447355133,1447355133,2015-12-01T20:30:00,2015-12-01T20:30:00,,,,"<p>Join museum docent Sharon Rose for a complimentary guided tour of the Stilleven: Contemporary Still Life exhibition at the Hallie Ford Museum of Art. Tour begins at 12:30 p.m. in the Maribeth Collins Lobby. Free admission.<br />Hallie Ford Museum of Art, Maribeth Collins Lobby<br />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html</a></p>"
40005,21809,event,,Tuesday Gallery Talk: Stilleven ~ Contemporary Still Life,19,1,1447355289,1447355289,2015-12-08T20:30:00,2015-12-08T20:30:00,,,,"<p>Join museum docent Teresa Flaherty for a complimentary guided tour of the Stilleven: Contemporary Still Life exhibition at the Hallie Ford Museum of Art. Tour begins at 12:30 p.m. in the Maribeth Collins Lobby. <br />Hallie Ford Museum of Art, Maribeth Collins Lobby<br />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html</a></p>"
40006,21810,event,,Tuesday Gallery Talk: Stilleven ~ Contemporary Still Life,19,1,1447355753,1447355753,2015-12-15T20:30:00,2015-12-15T20:30:00,,,,"<p>Join museum docent Julie Kahn for a complimentary guided tour of the Stilleven: Contemporary Still Life exhibition at the Hallie Ford Museum of Art. Tour begins at 12:30 p.m. in the Maribeth Collins Lobby. Free admission.<br />Hallie Ford Museum of Art, Maribeth Collins Lobby<br />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/stilleven.html</a></p>"
40007,21812,event,,"Holiday Open House ""Delightful and Enchanted Holidays""",19,1,1447355943,1447355983,2015-11-13T18:00:00,2015-11-15T00:00:00,,,,"<p>Get in the holiday spirit as we welcome shoppers at the Historic Daue House gift shop. Enjoy theme-decorated trees, fresh-baked specialty pastry items and more. Proceeds support programs to assist local children in need.<br />Historic Daue House Gift Shop<br />1095 Saginaw St. S<br />Salem, OR 97301<br /><span style=""line-height: 20.4px;"">503 364-8318<br /><a href=""http://www.assistanceleaguesalem.org"" target=""_blank"">www.assistanceleaguesalem.org</a></span></p>"
40008,21813,event,,Holiday Craft & Gift Show,19,1,1447356214,1447356214,2015-11-14T17:00:00,2015-11-15T00:00:00,,,,"<p>The Aumsville Community Center will be filled with all the wonders of the Christmas Holidays. Join us for a fun and unique shopping opportunity. Crafters, collectors and retailers with thier best holiday products. Free admisson.<br />Aumsville Community Center<br />555 Main St.<br />Aumsville, OR 97325<br />503-749-2030<br /><a href=""http://www.aumsville.us"" target=""_blank"">www.aumsville.us</a></p>"
40009,21814,event,,Holiday Open House at the Carousel,19,1,1447356544,1447356544,2015-11-14T18:00:00,2015-11-15T03:00:00,,,,"<p>Kick off the holiday season by shopping in our unique Gift Gallery. During our Holiday Open House enjoy 20% off your gift shopping purchase. Light refreshments will be served all day (while supplies last).<br />Salem's Riverfront Carousel<br />101 Front St. NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
