nid,vid,type,language,title,body,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
3376,6762,blog,,"August 9, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>",4,1,1281136137,1281137462,0,1,0,0,0,0
3446,6917,blog,,"September 13, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>",4,1,1283805364,1283805364,0,1,0,0,0,0
3608,7271,blog,,"October 11, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<p style=""text-align: center;""><a href=""http://www.vanluecpa.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Vanlue_PC.jpg"" title=""Vanlue, PC ~ Certified Public Accountant ~ Salem, Oregon ~ www.vanluecpa.com"" width=""500"" height=""120"" /></a><br />A full-service accounting firm dedicated to providing&nbsp;clients with professional, personalized services and guidance in a wide range of financial and business needs.<br />Vanlue, PC Certified Public Accountant<br />1174 Cornucopia St. NW, Ste. 250<br />Salem, OR 97304<br />503-587-7954 or <a href=""mailto:don@vanluecpa.com"">don@vanluecpa.com</a><br /><a href=""http://www.vanluecpa.com"" target=""_blank"">www.vanluecpa.com</a></p>
<ul>
<li>
<div style=""text-align: left;""><a href=""/newsletters/volume-3-issue-12"">Back to newsletter</a></div>
</li>
</ul>",4,1,1286490424,1330016780,0,1,0,0,0,0
3686,7430,blog,,"October 25, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>
<ul>
<li><a href=""/newsletters/volume-3-issue-13"">Back to newsletter</a></li>
</ul>",4,1,1287855776,1287856924,0,1,0,0,0,0
3697,7463,blog,,"November 1, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<p><a href=""http://www.SalemConferenceCenter.org"" target=""_blank""><img src=""[site:url]sites/default/files/images/SCC_Nov_2010.JPG"" title=""Book Your Holiday Event Today! Salem Conference Center ~ www.SalemConferenceCenter.org"" width=""452"" height=""315"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>
<ul>
<li><a href=""/newsletters/volume-3-issue-14"">Back to newsletter</a></li>
</ul>",4,1,1288389648,1288651334,0,1,0,0,0,0
3798,7618,blog,,"November 22, 2010","<p style=""text-align: center;"">This edition sponsored by:</p>
<p><a href=""http://www.SalemConferenceCenter.org"" target=""_blank""><img src=""[site:url]sites/default/files/images/SCC_Nov_2010.JPG"" title=""Book Your Holiday Event Today! Salem Conference Center ~ www.SalemConferenceCenter.org"" width=""452"" height=""315"" style=""display: block; margin-left: auto; margin-right: auto;"" /></a></p>
<ul>
<li><a href=""/newsletters/volume-3-issue-15"">Back to newsletter</a></li>
</ul>",4,1,1290213899,1290213899,0,1,0,0,0,0
3831,7689,blog,,"November 30, 2010","<p style=""text-align: center;"">This edition sponsored by:<br /><a href=""mailto:terram@mediamerica.net""><img src=""[site:url]sites/default/files/images/MEDIAmerica_Nov_10.jpg"" title=""Don't Miss ... the 2011 Salem Area Visitor Guide ~ Contact Terra Moreland at MEDIAmerica ~ 503-445-8830 or terram@mediamerica.net"" width=""500"" height=""350"" /></a></p>
<ul>
<li><a href=""/newsletters/volume-3-issue-16"">Back to newsletter</a></li>
</ul>",4,1,1290559855,1291148267,0,1,0,0,0,0
4029,8079,blog,,"January 31, 2011","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>
<ul>
<li><a href=""/newsletters/volume-4-issue-1"">Back to newsletter</a></li>
</ul>",4,1,1296068663,1296068663,0,1,0,0,0,0
4145,8236,blog,,"February 14, 2011","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>
<ul>
<li><a href=""/newsletters/volume-4-issue-2"">Back to newsletter</a></li>
</ul>",4,1,1297448290,1297448290,0,1,0,0,0,0
4178,8337,blog,,"March 7, 2011","<p style=""text-align: center;"">This edition sponsored by:</p>
<table style=""width: 100%;"" border=""3"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><a href=""http://www.tobeycs.com"" target=""_blank""><img src=""[site:url]sites/default/files/images/Tobey_Computer_Services_Small.jpg"" title=""Tobey Computer Services ~ www.tobeycs.com"" width=""250"" height=""109"" /></a></td>
<td style=""text-align: center;"">Travel Salem's exclusive IT support service:<br /><strong>Tobey Computer Services<br /><em>Computer Support at the Speed of Business</em></strong></td>
</tr>
</tbody>
</table>
<ul>
<li><a href=""/newsletters/volume-4-issue-3"">Back to newsletter</a></li>
</ul>",4,1,1299263054,1299263054,0,1,0,0,0,0
