nid,vid,type,language,title,body,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
1,21388,page,,Promotions,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""5""><tbody><tr><td><h1><a href=""/promotions/salem-area-packages-specials"">View Salem Area Packages and Specials</a></h1> <p>Pondering where to stay and what to see and do while in Oregon's capital city and the region? Let these creative packages and specials make your stay an&nbsp;<em>Absolutely</em> wonderful experience.</p></td> <td></td></tr> <tr><td><h1><a href=""/promotions/reel-reel"">Reel to Real Experiences<span class=""inline inline-left"">&nbsp;</span></a></h1> <p>Visually discover the Salem area's unique experiences that will transform your ""Reel virtual"" visit into a ""Real time"" visit. These lively ""experiences"" will help you discover the real you. Are you a Family Voyager, Naturalist, Adventure Seeker, Gourmand, Relaxer or a Culture Seeker? Find out by viewing these reels then let us help you plan your real visit.</p></td> <td><p><span class=""inline inline-left""><a href=""/promotions/reel-reel""><img src=""[site:url]sites/default/files/images/family.jpg"" width=""145"" height=""82"" border=""0"" style=""float: right;"" class=""image image-preview"" /></a></span></p></td></tr> <tr><td><h1></h1></td> <td></td></tr> <tr><td><h1></h1></td> <td></td></tr></tbody></table>",19,1,1228519602,1441903854,0,0,0,0,0,0
6,18998,page,,Home Page,"<h1>Welcome to Salem &amp; the Mid-Willamette Valley ~ Absolutely Oregon!</h1>
<p>TravelSalem.com is your connection to Salem and the Mid-Willamette Valley as the official <a href=""/Attractions/Attractions-Overview"">tourism</a> and <a href=""/Planners/meeting-and-group-planners"">meeting</a> website for visitors to this region of Oregon. Locate all the riches of the area and entertaining things to do. Unique character can be found at our <a href=""/Attractions/Attractions-Overview"">attractions</a>, <a href=""/Arts-and-Entertainment/Arts-and-Entertainment-Overview"">galleries</a>, <a href=""/Dining/Dining-Overview"">eateries</a>, <a href=""/Shopping/Shopping-Overview"">shops</a>, and <a href=""/Events/Events-Overview"">events</a>. You will find vibrant <a href=""/Recreation/Recreation-Overview"">scenery</a> at every turn, so be sure to bring your camera and <a href=""/media"">share</a> your favorite photos with us!</p>",19,1,1229040615,1412137346,0,1,0,0,0,0
13,13,page,,http://localhost/travelsalem/admin/build/block/configure/block/6,<p>[img_assist|nid=9|title=Holiday Parade|desc=|link=none|align=left|width=50|height=100]</p>,1,1,1231281504,1231281504,0,0,0,0,0,0
16,14749,page,,Lodging,"<p><img src=""[site:url]sites/default/files/images/scva0001_RT8.jpg"" alt=""Salem Hotels. Photo by Kelly James - copyright Travel Salem."" width=""268"" height=""178"" border=""0"" style=""float: right; margin-left: 6px; margin-right: 6px; border: 0px;"" class=""image image-_original"" /></p>
<p><span class=""inline inline-left""></span>Where to stay in the Salem area? There are plenty of lodging options! You might like to stay within walking distance of the Capital, downtown historic district and Bush's Pasture Park. Or perhaps you'd prefer one of our unique <a href=""/Lodging/Bed-and-Breakfasts"">Salem bed and breakfast inns</a>, many in excellently restored historic homes. From a lovely creekside Victorian to a country home in one of the oldest Oregon vineyards, we have it all.</p>
<p>The region's diverse lodgings cater to your every need, with options from fireplaces and player pianos to steam rooms, jacuzzis, tennis courts, computer services and full breakfast fare. Enjoy your sleep because there is plenty to see!</p>",1,1,1231822674,1374694421,0,0,0,0,0,0
17,19754,page,,Shopping,"<p><span class=""inline inline-none""><img src=""[site:url]sites/default/files/images/scva0022_RT8.jpg"" alt=""Photo by Kelly James - copyright Travel Salem."" width=""268"" height=""178"" border=""0"" style=""float: right; margin: 6px; border: 0px;"" class=""image image-_original"" /></span>Home to the only Nordstrom between San Francisco and Portland, and situated just off I-5, Salem is a key shopping destination for the Willamette Valley. From major names in retail to unique shops with local products, we have it all. Stroll past the historic fa’_ade of the Ladd &amp; Bush Bank as you peruse the city's charming downtown shopping core, filled with boutiques and <a href=""/Dining/Dining-Overview"" target=""_blank"">cafes</a>, <a href=""/Shopping/Gifts-and-Specialty"">specialty shops</a> and <a href=""/Shopping/Antiques"">antiques</a>. Our downtown <a href=""/Shopping/Malls"">malls</a>, Salem Center and Reed Opera House, and nearby Lancaster Mall feature 200 popular and specialty stores for all your shopping needs.</p><p>One of the most exciting changes in downtown Salem is the recent re-opening of the historic McGilchrist and Roth Building. Originally built in 1916, this beautifully renovated building is home to three new shops, including&nbsp;<a href=""http://www.travelsalem.com/Dining/Cafe-and-Deli"" target=""_blank"">Gayle's Italian Marke</a><a href=""http://www.travelsalem.com/Dining/Cafe-and-Deli"" target=""_blank"">t</a>, an authentic Italian shop featuring artisan cheeses, meats, wood-fired pizza and more.&nbsp;</p>",19,1,1231822749,1422034689,0,0,0,0,0,0
18,14794,page,,Arts & Entertainment,"
<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Salem is a marvelously art-friendly town! We're proud to host Oregon's largest art fair and festival each summer. Our downtown's First Wednesdays always attract a vibrant crowd, featuring artists and musicians performing at stores during evening shopping hours. Theater performances and concerts attract well-known talents to our region, and are always well attended. And if you enjoy visual arts, our museums and galleries are known for their imaginative exhibitory. Outdoor concerts are always a special part of our summers.</td>
<td><span class=""inline inline-left""><img src=""[site:url]sites/default/files/images/Elsinore sunst copy.jpg"" alt=""Photo by Ron Cooper - copyright Travel Salem."" width=""268"" height=""178"" border=""0"" style=""border: 0px;"" class=""image image-preview "" /></span></td>
</tr>
</tbody>
</table>",19,1,1231822806,1375210846,0,0,0,0,0,0
20,16908,page,,Meeting and Group Planners,"<h1>Absolutely&nbsp;Hospitality<span class=""inline inline-left""><img src=""[site:url]sites/default/files/images/IMG_9717-0.jpg"" width=""240"" height=""160"" border=""0"" style=""float: right;"" class=""image image-preview "" /></span></h1>
<p>Unique venues that meet your exact needs and affordable accommodations. These are just a few reasons Salem should be on your meeting, event, conference, wedding, retreat, reunion  - …short list.' We invite you to  - …tour' the venues listed here, complete a request for proposal or bid request or contact us for more information and free planning assistance.</p>
<h1>Meeting facilities</h1>
<p>Salem offers an incredible variety of meeting venues, from modern facilities to restored historic sites. The city offers 450,000 square feet of meeting and exhibit space, for groups from 10 to 7,000.</p>
<h1>Transportation</h1>
<p>Portland International Airport is 50 minutes north of Salem and is serviced by all major airlines. Ground transportation is available and easily coordinated by your travel professional.</p>
<h1>Where to stay</h1>
<p>Salem offers more than 1,900 quality guestrooms, from small independent hotels to premier business-class accommodations. Most hotels have meeting facilities, and many offer turn-key service for groups from 10 to 300.</p>
<h1>What to do</h1>
<p>Our wineries, rivers, gardens and historic sites offer discoveries at every turn. Golfers will enjoy courses from breathtaking alpine to classic parkland layouts along the Willamette River. Groups can visit our award-winning wineries. And for strolling and shopping, Salem's historic downtown offers a charming mix of stores, galleries, restaurants and parks.</p>",1,1,1231822950,1392917301,0,0,0,0,0,0
21,18568,page,,Dining/Culinary,"<h2>WINERIES, CIDERMAKERS &amp; CRAFT BREWERS</h2>
<p>Within a short drive of Salem  - ” and right in town  - ” it's possible to taste a world of wine, cider and brews. While largely known for its world-class Pinot noir, the Willamette Valley produces a wide range of award-winning wines and has also attracted a new crop of cider makers and craft brewers. No matter which direction you take, you'll find cozy tasting rooms and opportunities to chat with producers while quaffing a glass of your favorite beverage.</p>
<p>For in-town tasting, visit Grand Vines and sip from a rotating list of local, regional and international wines. Live music is often on the menu, along with antipasto plates, sandwiches, soups and salads. Save room for handmade goodies from Extreme Chocolates.&nbsp;</p>
<p>Honeywood Winery, Oregon's oldest producing winery, offers complimentary tastings of its varietal, fruit and specialty wines ~ including mead ~ and a gourmet marketplace selling Oregon foods and wine-related gifts.</p>
<p>For a wine loop south of Salem, start with Willamette Valley Vineyards. Founded in 1983, the estate is one of Oregon's leading wineries, best known for award-winning Pinot noir, along with excellent Riesling, Chardonnay, and Pinot gris. The winery sits on a picturesque hilltop, with a tasting room and deck that offer sweeping views across the valley. Enjoy a picnic lunch assembled from the local cheeses and artisan products from the tasting room. Look for annual events like the Pinot and Chocolate Celebration, Pear, Wine and Cheese Jubilee, Father's Day Weekend, and the fall Grape Stomp Competition.</p>
<p>Farther south, overlooking the Ankeny National Wildlife Refuge, is Ankeny Vineyards. There, owner Joe Olexa and winemaker Andy Thomas turn out small, handcrafted lots with an emphasis on Pinot noir and Pinot gris. Nearby Trinity Vineyards, a family-owned boutique winery producing Pinot noir, Pinot gris, Viognier and Ros’©, features a tasting room deck overlooking the vines and with views of the surrounding hills.</p>
<p>To the east of Salem lies a handful of small wineries, including Pudding River Wine Cellars, a winery producing small lot, boutique wines like Pinot noir, Chardonnay, Pinot gris, Viognier, and Riesling. In Aumsville, Piluso Vineyard and Winery offers red and white varietals along with port and dessert wines. Piluso's Vintner's Garden is a delightful spot to enjoy a bottle of wine and a picnic.</p>
<p>By far, the largest concentration of wineries and vineyards is west of Salem. Visiting one, or a handful, makes for a pleasant and easy daytrip.</p>
<p>Head west along Highway 22 to loop through the Van Duzer corridor. Here vines get the benefit of temperate afternoon breezes and cool evenings ~ perfect growing conditions for exceptional Pinot noir. Wineries in this area include Johan Vineyards, Firesteed and Namast’© Vineyards. At Van Duzer Vineyards, visitors are treated to award-winning wines and breathtaking views of the valley from the trellised terrace off the tasting room ~ the perfect spot for a picnic lunch.</p>
<p>If you'd rather break up a day with a more traditional lunch stop, head to Left Coast Cellars; the cozy caf’©, decorated with a Scandinavian twist, features soups, panini sandwiches, pizza and small plates that complement the house wines. From there, head south to Eola Hills Wine Cellars. Open year-round and producing more than two dozen wines, Eola Hills' serene setting and koi ponds offer a relaxing spot to pass an afternoon.</p>
<p>Another option for a wine loop west of Salem is up and along the ridge of the Eola Hills. This will take you by Cubanisimo Vineyards, St. Innocent Winery, Witness Tree Vineyard, Redhawk Vineyard &amp; Winery, and Stangeland Vineyards and Winery ~ each one producing standout wines.</p>
<h2>CIDER &amp; BREWS</h2>
<p>Traditional hard cider is experiencing a revival in the Willamette Valley. Two early adopters are Wandering Aengus Ciderworks and E.Z. Orchards. For a taste of both, head to Wandering Aengus' tasting room and sidle up to the sustainable hardwood bar to sample from a rotation of ciders, ranging from semi-dry to floral. Lite fare, local beers, wines and cheeses are also available.</p>
<p>Beer-lovers should seek out Gilgamesh Brewing, whose innovative brews have spawned a devoted following. Gilgamesh can be found at their own tasting room (open on select dates), on local menus, or at frequent pop-up events.</p>
<p>Salem's Ram Restaurant &amp; Brewery is home to Big Horn Brewing Company and its ales, lagers and handcrafted brews. Just across the Willamette in Independence (once the hop capital of the world) is an outpost of one of Oregon's most lauded brewers, the venerable Rogue Ales. Raise a glass of artisan brew at the Chatoe Rogue Tasting Room, take a tour of the adjacent hop fields and processing facility, or relax with a friendly round of croquet.</p>",19,1,1231826367,1406669961,0,0,0,0,0,0
22,18103,page,,Recreation,"<h2>Wild Oregon</h2>
<p>Oregon features some of the most scenic wild areas in the United States, and the Willamette Valley is no exception. You don't have to venture far from Salem to find rolling green hills, waterfalls, old-growth forests and wetlands.</p>
<p class=""maps-embed""><iframe src=""https://www.google.com/maps/ms?msa=0&amp;msid=200001417424751519018.0004ba333cd102a77ab01&amp;ie=UTF8&amp;ll=44.934138,-122.712763&amp;spn=0.142424,0.15884&amp;t=m&amp;output=embed"" width=""540"" height=""300"" frameborder=""0"" scrolling=""no""></iframe><br /><small>View <a href=""https://www.google.com/maps/ms?msa=0&amp;msid=200001417424751519018.0004ba333cd102a77ab01&amp;ie=UTF8&amp;ll=44.934138,-122.712763&amp;spn=0.142424,0.15884&amp;t=m&amp;source=embed"" style=""color: #0000ff; text-align: left;"">Nature - Itinerary 1</a> in a larger map</small></p>
<p><span style=""font-family: Helvetica, Arial, sans-serif; font-size: 19.09090805053711px; line-height: 24.96000099182129px;"">Oregon's Natural Wonder: Silver Falls State Park</span></p>
<p><a href=""http://www.oregonstateparks.org/park_211.php"" target=""_blank""><img src=""[site:url]sites/default/files/images/Nature1_SilverFalls.jpg"" width=""266"" height=""173"" style=""float: left; margin: 5px;"" /></a>Located 25 miles east of Salem lies one of Oregon's most spectacular natural wonders <strong><a href=""http://www.oregonstateparks.org/index.cfm?do=parkPage.dsp_parkPage&amp;parkId=151"" target=""_blank"">Silver Falls State Park</a></strong>. The crown jewel of the Oregon State Park system, Silver Falls is the state's largest park (9,000 acres) and home to one of America's most impressive waterfall hikes. <strong><a href=""http://www.oregonstateparks.org/index.cfm?do=parkPage.dsp_parkPage&amp;parkId=151"" target=""_blank"">The Trail of Ten Falls</a></strong> is a designated National Recreation Trail and lures photographers, hikers and waterfall enthusiasts alike. There are exactly ten falls on this 8.7-mile loop (which can be reduced via two cutoff trails) and many have natural pathways that allow hikers to walk behind the falls for a truly breathtaking perspective. Silver Falls also offers opportunities for fishing, swimming, picnicking, mountain biking and overnight camping. Campers can get cozy in an RV, tent, rustic cabin or yurt ~ some of which are also pet-friendly.&nbsp;<span style=""font-size: 12px;"">(These lush surroundings served as a backdrop to some of the scenes in the first</span><span style=""font-size: 12px;"">&nbsp;</span><em style=""font-size: 12px;"">Twilight</em><span style=""font-size: 12px;"">&nbsp;</span><span style=""font-size: 12px;"">movie and the South Falls had a cameo in</span><span style=""font-size: 12px;"">&nbsp;</span><em style=""font-size: 12px;"">Yogi Bear</em><span style=""font-size: 12px;"">.)</span></p>
<p><a href=""http://www.oregongarden.org/"" target=""_blank""><img src=""[site:url]sites/default/files/images/Nature1_OregonGarden.jpg"" width=""266"" height=""173"" style=""margin: 5px; float: right;"" /></a></p>
<p>Visitors to Silver Falls will want to spend time in the historic town of <strong><a href=""http://www.silverton.or.us/"" target=""_blank"">Silverton</a></strong> - named one of America's coolest small towns by Budget Travel Magazine in 2009. Enjoy a cocktail and casual fare at the <strong><a href=""http://www.creeksidesilverton.com/"" target=""_blank"">Creekside Grill &amp; Grotto Martini Bar</a></strong> or a fine dining experience at the award-winning <strong><a href=""http://silvergrille.com/"" target=""_blank"">Silver Grille Cafe</a></strong>. Silverton is also home to <strong><a href=""http://www.oregongarden.org/"" target=""_blank"">The Oregon Garden</a></strong>, a stunning 80-acre botanical garden. <strong><a href=""http://www.thegordonhouse.org/home.html"" target=""_blank"">The Gordon House</a></strong> - the only house in Oregon designed by renowned architect Frank Lloyd Wright ~ also sits on the Garden grounds. Guided tours of both The Oregon Garden and the Gordon House are offered regularly.&nbsp;</p>
<p><em><span style=""font-size: 12px;"">Looking for additional recreation information? Check out our </span><a href=""http://www.travelsalem.com/Attractions/Natural"" style=""font-size: 12px;"">natural attractions</a><span style=""font-size: 12px;""> and </span><a href=""http://www.travelsalem.com/Attractions/Parks"" style=""font-size: 12px;"">parks</a><span style=""font-size: 12px;""> pages on our website.</span></em></p>
<address><br /></address>
<h2>Nature in downtown Salem and beyond</h2>
<p>If you're short on time, nature is still close at hand. Accessible from downtown, <a href=""http://www.cityofsalem.net/Residents/Parks/ParkTour/Pages/Riverfront%20Park.aspx"" target=""_blank""><strong>Salem's Riverfront Park</strong></a> meanders along the Willamette River and features flat, paved trails that make for an easy and picturesque stroll. Enjoy a delightful old-time <a href=""http://salemcarousel.wix.com/salemcarousel"" target=""_blank""><strong>carousel</strong></a> and the <a href=""http://www.cityofsalem.net/Residents/Parks/ParkTour/Pages/Riverfront%20Park.aspx"" target=""_blank""><strong>Eco Earth Globe</strong></a>, made up of 86,000 colorful tiles.</p>
<p class=""maps-embed""><iframe src=""https://www.google.com/maps/ms?msa=0&amp;msid=200001417424751519018.0004ba334b678cd160ffa&amp;ie=UTF8&amp;t=m&amp;ll=44.942594,-123.139226&amp;spn=0.040886,0.245996&amp;output=embed"" width=""540"" height=""300"" frameborder=""0"" scrolling=""no""></iframe><br /><small>View <a href=""https://www.google.com/maps/ms?msa=0&amp;msid=200001417424751519018.0004ba334b678cd160ffa&amp;ie=UTF8&amp;t=m&amp;ll=44.942594,-123.139226&amp;spn=0.040886,0.245996&amp;source=embed"" style=""color: #0000ff; text-align: left;"">Nature - Itinerary 2</a> in a larger map</small></p>
<p>At the north end of the park, the <a href=""http://www.cityofsalem.net/unionbridge"" target=""_blank""><strong>Union Street Railroad Bridge</strong></a>, built in 1912-13 and recently refurbished for pedestrians and cyclists, offers clear views upstream and downstream while connecting to <a href=""http://www.cityofsalem.net/Residents/Parks/ParkTour/Pages/Wallace%20Marine%20Park.aspx"" target=""_blank""><strong>Wallace Marine Park</strong></a> in west Salem.</p>
<p><a href=""http://www.cityofsalem.net/Residents/Parks/ParkTour/Pages/Minto-Brown%20Island%20Park.aspx"" target=""_blank""><img src=""[site:url]sites/default/files/images/Nature2_MintoBrown.jpg"" width=""266"" height=""173"" style=""float: left; margin: 5px;"" /></a>Stock your daypack with lunch from <a href=""http://www.croissantandco.com/"" target=""_blank""><strong>Croissant &amp; Company</strong></a>  - ” where you'll find sandwiches, salads and pastries  - ” and take the short drive to Salem's 900-acre <a href=""http://www.cityofsalem.net/Residents/Parks/ParkTour/Pages/Minto-Brown%20Island%20Park.aspx"" target=""_blank""><strong>Minto-Brown Island Park</strong></a>. With a network of paths along the Willamette River and through a varied landscape of abandoned filbert orchards, pastures, woods and wetlands, it's a prime spot for bird watching. Keep your eyes peeled for large osprey nests.</p>
<p><a href=""http://www.fws.gov/WillametteValley/complex/index.html"" target=""blank""><img src=""[site:url]sites/default/files/images/Nature2_Geese.jpg"" width=""266"" height=""173"" style=""float: right; margin: 10px;"" /></a>West of Salem lies the <a href=""http://www.fws.gov/refuges/profiles/index.cfm?id=13587"" target=""_blank""><strong>Baskett Slough National Wildlife Refuge</strong></a>. The 1,000-acre sanctuary, carved from cropland, forests, grassland and wetlands, is home to wintering geese, great blue heron, hawks and eagles, along with many other types of wildlife. In spring, when the refuge is awash in wildflowers, you may even catch a glimpse of the endangered Fender's blue butterfly. Hiking and walking trails zigzag the refuge, with wildlife observation platforms providing a vantage point for taking in the scenery.</p>
<p>After a day of exploring hill and dale, you'll have worked up a hearty appetite. Sate it with <strong><a href=""http://www.adams-rib-smoke-house.com"" target=""_blank"">Adam's Rib Smoke House</a></strong>. Known for their outstanding slow-smoked barbecue meats, homemade side dishes and uncompromising commitment to service. Thirsty? Their tap room boasts over 30 beers and growing!</p>",1,1,1231826464,1402355000,0,0,0,0,0,0
23,21714,page,,Resources,"<p>If you are relocating to the Salem and Mid-Willamette area, we would love to send you a <a href=""/Visitors-Guide/Guide-Overview"">FREE Salem Area Visitors Guide</a>.</p> <ul> <li><a href=""http://www.travelsalem.com/taxonomy/term/198/all"">Accountant/Bookkeeper</a></li> <li><a href=""/taxonomy/term/176/all"">Assisted Living/Retirement Communities</a></li> <li><a href=""/taxonomy/term/204/all"">Banks/Credit Unions</a></li> <li><a href=""/taxonomy/term/167/all"">Civic Organizations &amp; Clubs</a></li> <li><a href=""/taxonomy/term/259/all"">Computer Services</a></li> <li><a href=""/taxonomy_vtn/voc/51"">Contractors/Construction</a></li> <li><a href=""/taxonomy/term/175/all"">Hospitals</a></li> <li><a href=""/taxonomy/term/205/all"">Insurance</a></li> <li><a href=""/taxonomy/term/206/all"">Investments</a></li> <li><a href=""http://www.travelsalem.com/taxonomy/term/407/all"">Legal Services</a></li> <li><a href=""/taxonomy/term/284/all"">Medical Services</a></li> <li><a href=""/taxonomy/term/174/all"">Mortgage Lenders</a></li> <li><a href=""http://www.travelsalem.com/taxonomy/term/314/all"" style=""background-color: transparent;"">Property Development/Management</a></li> <li><a href=""/taxonomy/term/180/all"">Radio Stations</a></li> <li><a href=""/taxonomy/term/172/all"">Realtors</a></li> <li><a href=""/taxonomy/term/177/all"">Relocation Team/Assistance</a></li> <li><a href=""http://www.salemchamber.org"" target=""_blank"">Salem Area Chamber of Commerce</a></li> <li><a href=""http://www.salkeiz.k12.or.us/"" target=""_blank"">Salem-Keizer Public Schools</a></li> <li><a href=""/Attractions/Colleges-and-Schools"">Schools/Higher Education</a></li> <li><a href=""/taxonomy/term/199/all"">Senior Center</a></li> <li><a href=""/taxonomy/term/240/all"">Specialized Services</a></li> <li><a href=""/taxonomy/term/275/all"">Telecommunication Services</a></li> <li><a href=""/taxonomy/term/182/all"">Utilities</a></li> <li><a href=""/about-us/boosters-volunteers"">Volunteer</a></li> </ul>",1,1,1231826517,1445375531,0,0,0,0,0,0
